Segment,Prospect,HQ / Market,Company Type,Target Role,Why Relevant,Approach Angle,Official Website,Contact Name,LinkedIn,Contact Email,First Contact Date,Channel,Status,First API Call,Second API Call,Paid Conversion,Notes
Logistics / Supply Chain,project44,USA,Decision Intelligence / Ocean Visibility,"VP Product, Data Partnerships, or Ocean Product","Already operates ocean visibility and explicitly exposes global port congestion, ETAs and APIs; Aether-X can be positioned as an additional port-level predictive signal.",Port congestion + ETA risk enrichment,https://www.project44.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,FourKites,USA,Supply-chain visibility,VP Product / Data Partnerships,Global shipment visibility platform; relevant integration point for an independent port-risk signal that can enrich exception workflows.,Port-risk enrichment,https://www.fourkites.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Descartes Systems Group,Canada / USA,Freight visibility / MacroPoint,Product Partnerships / Ocean Visibility,MacroPoint already provides predictive ETA and ocean visibility across carriers and ports; Aether-X can be tested as an independent congestion signal.,Predictive port-risk enrichment,https://www.descartes.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,GoComet,USA / India,Freight visibility,Product / Data Partnerships,Ocean freight visibility and ETA prediction are core use cases; direct fit for port congestion and delay signals.,ETA + congestion API,https://www.gocomet.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Shippeo,France,Supply-chain visibility,Product / Data Partnerships,Real-time multimodal visibility and ETA prediction create a natural use case for external port-risk enrichment.,Port congestion signal,https://www.shippeo.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Overhaul,USA,Supply-chain risk management,Product / Data Partnerships,Risk-management platform focused on high-consequence supply chains; port disruption can be another risk input.,Port disruption risk feed,https://over-haul.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Gnosis Freight,USA,Ocean freight operating system,Founder / Product / Data,AI-native containerized freight operating system; particularly compatible with an API-first predictive port signal.,AI freight exception signal,https://www.gnosisfreight.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,BuyCo,France,Ocean freight software,Product / Partnerships,Ocean freight platform serving shippers/importers/exporters; can use port congestion to contextualize container delays.,Ocean port-risk API,https://buyco.co/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,SeaRates,International,Logistics platform / APIs,API Product / Partnerships,Already offers container tracking APIs and ocean-freight integrations; strong API-to-API prospect.,Port congestion enrichment,https://www.searates.com/,,,,,LinkedIn / Email,Not contacted,,,,
Logistics / Supply Chain,Freightos,USA / Israel,Freight marketplace / data,Product / Data Partnerships,Digital freight marketplace with strong ocean-freight orientation; port-risk data can enrich quotation and planning context.,Congestion-aware freight intelligence,https://www.freightos.com/,,,,,LinkedIn / Email,Not contacted,,,,
